TM_DRIVERID,TM_REGISTRATION_NUMBER,COMPANY_CODE,VEHICLE_TYPE_DESCRIPTION,PRODUCT_CODE,FUEL_TYPE,MAX_SPEED,NO_OF_HARSH_BRAKES,NO_OF_HARSH_ACCELERATION,NO_OF_SPEED_VIOLATIONS,NO_EXCESS_IDLE,NO_OF_TRIPS,ENGINE_CAPACITY,FUEL_CONSUMPTION,NUMBER_OF_GEARS,RENTAL,KM_DRIVEN,PROJECTED_EXCESS_KM_CHARGE,SPEED_PENALTY_POINTS,SPEEDING_TIME_SECONDS,DRIVING_TIME,total_time_driven,TM_SCORE,Num_times_yawned,Num_times_Angry,Num_times_sleepy,cluster
65535,FJ31RHGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,135,3,1,12,1,27,1398,6.2,5,5645.443793,1226.5610000000001,0.0,12.0,201.0,320.0,16,54.56516,6,7,6,2
65535,FJ40CWGP,RSA,PASS ALL(EXCL D/CAB),FML,DIESEL,167,15,12,155,125,145,1598,4.5,5,9545.7985,3242.6400000000003,5543.74,252.4,2389.6,1596.8,61,57.26787999999999,8,10,10,4
65535,FJ62PMGP,RSA,MINI BUS,FML,PETROL,157,7,5,59,14,60,2700,10.800000000000002,5,13140.272856666668,3638.6836666666663,1223.82,81.66666666666667,961.3333333333334,961.3333333333334,61,79.83647333333333,7,9,8,4
65535,FJ68NDGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,171,18,26,776,226,411,2198,7.400000000000001,6,7890.28,4612.0,7016.100000000001,2110.3333333333335,11939.333333333334,1928.0,115,44.166779999999996,8,10,10,0
65535,FJ85PSGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,202,46,56,424,228,197,1395,8.32,7,20372.2325,3663.4,6237.44,707.0,6633.0,2134.0,78,35.991884999999996,12,14,10,0
65535,FJ85ZJGP,RSA,PANEL VAN - LIGHT,FML,PETROL,143,27,2,7,254,312,1206,5.400000000000001,5,6496.967759666666,1858.6666666666667,2752.47,9.666666666666666,138.0,1902.6666666666667,88,77.70637,7,9,9,4
65535,FJ85ZTGP,RSA,PANEL VAN - LIGHT,FML,PETROL,136,10,7,0,333,136,1206,5.400000000000001,5,4862.9044263333335,2579.2,3088.89,0.6666666666666666,14.666666666666666,722.6666666666666,71,83.40654666666666,5,7,8,4
65535,FJ85ZXGP,RSA,PANEL VAN - LIGHT,FML,PETROL,175,16,3,203,71,240,1206,5.400000000000001,5,4862.9044263333335,3433.2333333333336,3754.17,486.3333333333333,3106.0,1310.6666666666667,74,70.50887666666667,8,9,9,4
65535,FJ87CHGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,169,7,22,132,23,83,1987,7.400000000000001,0,8830.918918000001,1994.1333333333332,0.0,278.3333333333333,2082.3333333333335,1996.0,33,57.35578666666667,10,12,11,4
65535,FJ87FHGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,142,7,20,8,19,112,1987,7.4,0,13086.348377,2592.85,0.0,11.5,179.0,1594.0,46,86.544475,5,7,8,4
65535,FJ91BJGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,148,3,1,4,4,85,1497,6.599999999999999,6,8398.031791666666,1448.2666666666667,0.0,6.666666666666667,75.33333333333333,1800.0,28,82.92097666666668,7,12,11,2
65535,FJ91CDGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,152,0,2,30,10,8,1497,6.599999999999999,6,8398.031791666666,913.4666666666667,0.0,46.333333333333336,465.0,3010.6666666666665,24,70.61085000000001,9,13,13,2
65535,FJ91DCGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,146,4,3,19,67,108,1497,6.599999999999999,6,8398.031791666666,1233.3,0.0,24.333333333333332,304.3333333333333,2692.0,33,71.63383333333333,10,13,13,2
65535,FJ91LDGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,162,2,7,79,17,26,1497,6.599999999999999,6,8413.251791666667,1493.0333333333335,0.0,168.0,1217.6666666666667,1378.6666666666667,31,62.04127,8,9,7,2
65535,FJ91MSGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,147,1,2,5,7,115,1497,6.6,6,8374.127075,998.18,0.0,6.6,94.8,1604.0,22,87.513542,7,9,9,2
65535,FJ91SLGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,155,3,12,26,7,32,1497,6.599999999999999,6,8398.031791666666,440.9333333333334,0.0,45.333333333333336,419.6666666666667,1422.6666666666667,8,42.79817333333333,8,9,9,2
65535,FJ91TBGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,162,1,4,80,9,10,1497,6.6,6,8427.9126875,324.95,0.0,161.5,1219.5,552.0,4,44.13926000000001,5,6,7,2
65535,FJ91VMGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,164,2,5,21,2,12,1497,6.6,6,8427.9126875,276.5,0.0,40.0,335.0,1566.0,4,50.757329999999996,7,11,12,2
65535,FJ91WHGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,162,1,3,35,12,7,1497,6.6,6,8427.9126875,292.40000000000003,0.0,93.5,546.5,544.0,4,56.26965,5,10,8,2
65535,FJ96DNGP,RSA,PASS ALL(EXCL D/CAB),FML,DIESEL,179,43,29,440,16,161,1598,5.1,6,18872.6726665,4562.5,0.0,1210.5,6736.5,2596.0,70,30.842729999999996,11,11,13,0
65535,FJ96KDGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,137,1,0,1,22,28,1197,4.9,5,4460.0696155000005,396.25,0.0,1.0,15.0,1410.0,27,83.23470999999999,8,12,10,2
65535,FJ96KPGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,125,0,1,0,79,67,1197,4.9,5,4463.669615500001,540.6999999999999,440.44,0.0,0.0,1238.0,18,85.751665,6,6,9,2
65535,FJ96LJGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,173,29,31,254,90,201,1197,4.9,5,4475.4697436666675,2115.0333333333333,7886.66,611.0,3933.0,2469.3333333333335,58,56.44775333333333,10,13,12,0
