,distance,p-value,outlier,FR,FL,RR,RL,Steering_Wheel_Absolute_Angle,Acceleration_Sensor_Value,Yaw_Rate,Lateral_Sensor_Value,Vehicle_Speed
2016-04-20 06:35:24.700,0.26665157273333917,0.8995206274836361,0,0.17499999999995453,0.375,-0.3499999999999659,0.049999999999954525,-3.4799999999999995,-0.0625,-1.589,-0.1125,46.429688
2016-04-20 06:34:54.400,0.2662748936635222,0.8997562586711083,0,0.6750000000000682,0.625,0.39999999999997726,0.024999999999977263,3.5300000000000002,0.0,0.084,-0.0875,68.054688
2016-04-20 06:35:17.900,0.2661415686618554,0.899839622699398,0,-1.0749999999999886,-0.8000000000000114,-0.625,-0.39999999999997726,3.620000000000001,-0.4875,-0.49000000000000005,0.05,48.054688
2016-04-20 06:35:58.000,0.26571052800990363,0.9001090055307871,0,-1.950000000000017,-2.1000000000000227,-2.075000000000017,-1.9749999999999943,7.700000000000001,-0.5625,0.44700000000000006,0.1875,18.335938
2016-04-20 06:35:12.800,0.2653585480827037,0.9003288269250392,0,-1.9500000000000455,-1.7999999999999545,-1.9750000000000227,-2.0499999999999545,3.2800000000000002,-0.625,-0.09500000000000001,0.0125,65.523438
2016-04-20 06:35:47.600,0.2650374559647957,0.9005292387741347,0,-1.25,-0.9249999999999545,-0.7749999999999773,-0.9499999999999886,2.4699999999999998,-0.0625,-0.40099999999999997,0.0,46.96875
2016-04-20 06:33:35.000,0.26497795669852975,0.9005663631367341,0,-0.6749999999999545,-0.25,-0.75,-0.3250000000000455,3.8,-0.1875,0.10200000000000001,0.1125,63.3125
2016-04-20 06:33:57.800,0.26494934925717356,0.9005842112574669,0,-0.75,-1.1749999999999545,-0.7749999999999773,-1.0499999999999545,1.5999999999999999,-0.25,-0.8760000000000001,-0.0625,93.5625
2016-04-20 06:36:48.400,0.2647622284252244,0.900700933202015,0,-1.8000000000000114,-1.625,-1.5,-1.75,7.4799999999999995,-0.4375,0.41125,-0.015625,16.445312
2016-04-20 06:34:28.900,0.2647589978657649,0.9007029480149862,0,1.0,0.7000000000000455,1.2749999999999773,1.125,2.3000000000000003,0.0625,-0.229,-0.0875,67.796875
2016-04-20 06:31:17.500,0.26465707517641435,0.9007665085157485,0,-1.0750000000000028,-1.4000000000000057,-1.4499999999999957,-1.375,-54.32000000000001,0.1875,-2.525,0.2,5.554688
2016-04-20 06:33:55.900,0.2644843073302774,0.9008742228028273,0,-0.375,-0.40000000000009095,-0.5,-0.9500000000000455,1.5999999999999999,-0.25,-0.8400000000000001,-0.1125,95.5
2016-04-20 06:31:20.800,0.26422977091725797,0.9010328563805331,0,-0.875,-1.25,-0.9500000000000028,-1.3000000000000043,-520.3000000000001,-0.9375,-24.174,0.1375,7.09375
2016-04-20 06:30:08.900,0.2642103406945749,0.9010449628338598,0,-1.25,-1.5249999999999986,-1.1999999999999957,-1.5999999999999943,-1.5999999999999999,0.375,0.125,0.0,3.6328120000000004
2016-04-20 06:33:58.200,0.26415148047055226,0.9010816345078309,0,-0.6499999999999773,-0.2999999999999545,-0.724999999999909,-0.7999999999999545,0.82,-0.25,-0.8830000000000002,-0.1625,93.078125
2016-04-20 06:35:58.400,0.2639055265820904,0.9012348294162601,0,-2.049999999999983,-2.0,-1.7249999999999943,-1.75,7.610000000000001,-0.5875,0.44299999999999995,0.1125,17.523438
2016-04-20 06:34:07.900,0.26387756179446387,0.9012522433086381,0,-1.6749999999999545,-1.7250000000000227,-2.025000000000091,-1.9250000000000682,4.0,-0.4375,0.541,0.0,84.164062
2016-04-20 06:30:29.900,0.2637830340857768,0.9013111000044429,0,1.2999999999999972,1.1000000000000014,1.5499999999999972,1.5499999999999972,40.25000000000001,0.375,1.026,-0.05,4.125
2016-04-20 06:30:08.600,0.2634729472997838,0.9015041023773033,0,-0.2749999999999986,-0.5,-0.75,-0.32499999999999574,-1.5999999999999999,0.0625,0.259,-0.0125,3.9453120000000004
2016-04-20 06:29:23.000,0.2632742482200462,0.9016277190484916,0,1.75,1.875,2.0500000000000007,1.9500000000000028,-6.799999999999999,-0.375,0.195,0.0,2.3125
2016-04-20 06:35:39.500,0.2632244978197652,0.9016586633609847,0,-0.22500000000002274,-0.2249999999999659,-0.8499999999999659,-0.6000000000000227,5.8100000000000005,-0.0625,0.4010000000000001,0.2,44.65625
2016-04-20 06:35:44.600,0.26316663601676865,0.9016946494130474,0,1.2749999999999773,0.8499999999999659,1.0,0.8500000000000227,5.299999999999999,0.25,0.119,0.225,44.546875
2016-04-20 06:35:45.700,0.26311054990796456,0.9017295275309338,0,1.275000000000034,0.9750000000000227,0.8249999999999886,1.0500000000000114,5.0,0.25,0.086,0.1625,46.015625
2016-04-20 06:34:12.100,0.26277095870742534,0.9019406329676886,0,-0.125,-0.25,-0.32499999999998863,-0.7750000000000341,3.14,-0.3375,0.354,-0.2,57.234375
2016-04-20 06:34:05.200,0.26273027949426436,0.9019659123600818,0,0.02500000000009095,-0.125,0.20000000000004547,-0.4249999999999545,2.38,0.0,-0.10400000000000001,-0.275,89.203125
2016-04-20 06:29:34.800,0.2626946740778703,0.9019880372059333,0,1.4000000000000021,1.0250000000000021,1.375,1.2999999999999972,-7.799999999999999,-0.4125,0.123,-0.05,3.4375
2016-04-20 06:33:37.800,0.262642644037728,0.9020203655888602,0,1.8250000000000455,1.9250000000000682,1.5499999999999545,1.5499999999999545,3.8,0.375,-0.07,0.0625,65.539062
2016-04-20 06:30:09.300,0.262602676313293,0.9020451971003755,0,-2.125,-2.0,-2.049999999999997,-2.1000000000000014,-1.5999999999999999,0.5625,0.138,-0.05,2.8125
2016-04-20 06:34:04.100,0.2622280112416991,0.9022778851631187,0,-0.20000000000004547,-0.17499999999995453,-0.17499999999995453,0.35000000000002274,0.6399999999999999,0.0,-0.192,-0.125,89.234375
2016-04-20 06:32:22.400,0.2621227924776569,0.9023432035347722,0,1.75,1.6500000000000021,1.9249999999999972,1.9750000000000014,3.7400000000000007,0.525,0.034999999999999996,0.0,3.703125
2016-04-20 06:29:34.700,0.26206290849376934,0.902380373128165,0,1.2999999999999972,1.6499999999999986,1.3249999999999993,1.4750000000000014,-7.769999999999999,-0.4375,0.34099999999999997,-0.05,3.3125
2016-04-20 06:35:01.000,0.26178933203920673,0.9025501288240557,0,0.6000000000000227,0.625,0.375,0.9500000000000455,3.2099999999999995,0.0625,0.22999999999999998,-0.0875,70.273438
2016-04-20 06:30:30.700,0.26167754531242005,0.9026194688077991,0,1.9750000000000014,1.9500000000000028,1.6499999999999986,1.8500000000000014,29.65,0.4875,0.999,-0.0125,5.796875
2016-04-20 06:36:43.000,0.2614895890504109,0.902736024041181,0,-0.6409090909090764,-0.375,-0.9954545454545496,-0.8545454545454163,8.970000000000002,-0.25,1.434,0.0,35.429688
2016-04-20 06:30:25.100,0.2614588619271538,0.9027550747147601,0,-0.625,-0.3500000000000085,-0.6750000000000114,-0.09999999999999432,-36.42,-0.05,-2.949,-0.225,10.148438
2016-04-20 06:35:24.800,0.2613481928187643,0.9028236801996639,0,0.3250000000000455,0.6000000000000227,-0.10000000000002274,0.22500000000002274,-3.9099999999999993,-0.0625,-1.892,-0.1125,46.515625
2016-04-20 06:33:43.700,0.26121125405873563,0.9029085514633935,0,0.875,0.9500000000000455,1.275000000000091,1.4250000000000682,-0.3,0.375,-1.006,-0.225,80.914062
2016-04-20 06:34:57.800,0.26105788059124085,0.9030035833417658,0,0.8250000000000455,0.6000000000000227,0.22500000000002274,0.25,2.4099999999999997,-0.0375,-0.173,-0.2375,68.59375
2016-04-20 06:31:50.700,0.2607459371360643,0.9031967846294078,0,0.5749999999999886,0.17500000000001137,0.4749999999999659,0.024999999999977263,-3.3,0.15,-1.5630000000000002,0.0125,32.867188
2016-04-20 06:35:38.900,0.26071307516664405,0.9032171311659085,0,0.0,0.19999999999998863,-0.10000000000002274,-0.4000000000000341,6.1000000000000005,-0.0625,0.351,0.1125,44.804688
2016-04-20 06:33:38.300,0.2606108072183119,0.9032804426661037,0,2.1000000000000227,2.074999999999932,2.1000000000000227,1.8999999999999773,3.8,0.5625,-0.005,0.0625,66.5625
2016-04-20 06:34:33.200,0.26047518917527823,0.9033643820307531,0,0.9249999999999545,0.8999999999999773,0.35000000000002274,0.4250000000000682,2.32,0.0,-0.266,0.0125,69.976562
2016-04-20 06:35:49.700,0.2604001742215769,0.9034108027632266,0,0.07500000000004547,-0.4000000000000341,-0.07500000000004547,-0.17499999999995453,2.6999999999999997,-0.0625,-0.20400000000000001,0.0125,46.789062
2016-04-20 06:30:32.800,0.2603004917996514,0.9034724783014407,0,-2.0249999999999986,-2.0749999999999993,-1.7749999999999986,-1.875,-49.10000000000001,-0.5625,-0.9040000000000001,0.0,2.507812
2016-04-20 06:33:09.600,0.26029579962156074,0.9034753811684839,0,0.47499999999990905,0.5249999999999773,0.09999999999990905,-0.10000000000002274,1.7899999999999998,-0.0875,-0.7760000000000001,-0.0375,75.914062
2016-04-20 06:35:05.100,0.25954324339794943,0.9039406332753115,0,-0.35000000000002274,-0.07500000000004547,0.0,0.35000000000002274,2.88,-0.0125,0.39699999999999996,-0.025,71.523438
2016-04-20 06:34:14.400,0.2594825998742532,0.9039780966910754,0,2.1749999999999545,2.125,2.1499999999999773,2.0500000000000114,14.8,0.4375,3.6090000000000004,0.575,56.445312
2016-04-20 06:33:44.300,0.25939513931428754,0.9040321193064583,0,0.5409090909091674,0.10681818181808467,0.5727272727272066,0.4636363636363967,-4.200000000000001,0.0125,-2.567,-0.725,81.765625
2016-04-20 06:30:01.100,0.2593695391853083,0.9040479303302509,0,-0.47499999999999787,-0.14999999999999858,-0.625,-0.6749999999999972,-42.15,0.0625,1.0699999999999998,-0.1875,3.6484379999999996
2016-04-20 06:35:46.000,0.25898491917460836,0.9042853869977184,0,0.5500000000000114,0.5999999999999659,0.7249999999999659,1.125,4.8999999999999995,0.25,0.037,0.1875,46.445312
2016-04-20 06:30:09.000,0.2589446805774788,0.9043102196926333,0,-1.8500000000000014,-1.7250000000000014,-2.0500000000000007,-1.7500000000000036,-1.5999999999999999,0.4375,0.17800000000000002,-0.025,3.4375
2016-04-20 06:35:26.100,0.2588409341180722,0.9043742368102392,0,-0.5749999999999886,-0.6749999999999545,-1.1750000000000114,-0.9250000000000114,5.551115123125783e-18,-0.1875,-1.423,0.0,46.40625
2016-04-20 06:30:30.000,0.25881866386298935,0.9043879771373183,0,1.8000000000000043,1.875,1.7749999999999986,1.5249999999999986,36.49,0.4375,1.041,-0.0375,4.3125
2016-04-20 06:30:30.300,0.25797583001762625,0.9049075700306976,0,1.9499999999999957,1.6999999999999957,1.8250000000000028,1.7999999999999972,34.699999999999996,0.5125,0.943,0.0,4.914062
2016-04-20 06:33:14.000,0.25779825337555023,0.9050169385248047,0,-1.1000000000000227,-0.9500000000000455,-0.5,-0.6499999999999773,4.299999999999999,-0.25,0.154,0.1875,74.664062
2016-04-20 06:35:23.300,0.2575165840153128,0.9051903423480693,0,-0.25,-0.17500000000001137,-0.44999999999998863,-0.7750000000000341,10.36,-0.1875,1.673,0.5125,46.867188
2016-04-20 06:30:25.900,0.2568906406763137,0.9055753619116976,0,-1.1499999999999915,-1.4750000000000085,-1.1499999999999915,-1.4749999999999943,-42.199999999999996,-0.325,-3.086,-0.1375,9.476562
2016-04-20 06:34:24.300,0.25679431615041687,0.9056345709976067,0,0.6000000000000227,0.8500000000000227,0.6750000000000682,1.1499999999999773,2.1600000000000006,0.0625,0.075,-0.2375,61.429688
2016-04-20 06:35:26.800,0.2561932953022846,0.9060037644350264,0,0.025000000000034106,0.25,-0.2249999999999659,-0.35000000000002274,2.8999999999999995,-0.0625,-0.532,0.0,46.289062
2016-04-20 06:34:02.800,0.2560871648777793,0.906068914160336,0,-1.0750000000000455,-1.0499999999999545,-0.6000000000000227,-0.5249999999999773,2.88,-0.25,0.06899999999999999,0.0,89.359375
2016-04-20 06:36:51.700,0.25566899116836717,0.9063254880621542,0,-2.0500000000000007,-1.8999999999999986,-1.8500000000000014,-1.9250000000000007,3.7300000000000004,-0.5625,-0.017,-0.05,3.039062
2016-04-20 06:30:30.900,0.2554912753777692,0.906434465033574,0,1.5499999999999972,1.7999999999999972,1.7250000000000014,1.8249999999999957,17.68,0.5375,0.8629999999999999,-0.2125,6.132812
2016-04-20 06:33:29.900,0.2552761465920123,0.9065663344351975,0,1.1749999999999545,1.125,0.7000000000000455,0.625,3.1000000000000005,0.0875,-0.155,0.0,63.5625
