,FR,FL,RR,RL
2016-04-20 06:27:33.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:33.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:34.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:35.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:36.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:37.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:38.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:39.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:40.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:41.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:42.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:43.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:44.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:45.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:46.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:46.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:46.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:46.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:46.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:46.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:46.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:47.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:48.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:49.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:50.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:51.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.000,0.0,0.0,0.0,0.0
